RANK;NAME;CHANNEL NAME;CHANNEL USERNAME;FOLLOWERS (M);ER;COUNTRY;TOPIC OF INFLUENCE;POTENTIAL REACH;Total Recent Views;Total Recent Likes;Total Recent Comments;Earliest Video Date;Newest Video Date
1;Ricis Official @UC4tS4Q_Cno5JVcIUXxQOOpA;Ricis Official ;UC4tS4Q_Cno5JVcIUXxQOOpA;30.6;-;Indonesia;;9.2M;2005874;65136;4581;23/04/2025;27/04/2025
2;AH @UCaKLg1ELiX0zTJ6Je3c5esA;AH ;UCaKLg1ELiX0zTJ6Je3c5esA;29.8;0.1%;Indonesia;;8.9M;6379630;143614;18673;25/03/2025;26/04/2025
3;Rans Entertainment @ransentertainment;Rans Entertainment ;ransentertainment;24.2;-;Indonesia;;7.3M;10766168;291621;16610;31/03/2025;24/04/2025
4;TRANS7 OFFICIAL @UC24_Z2L-8Ki183AI9zJJzNQ;TRANS7 OFFICIAL ;UC24_Z2L-8Ki183AI9zJJzNQ;23.6;-;Indonesia;;7.1M;487357;8303;788;25/04/2025;27/04/2025
5;Frost Diamond @UC4hGmH5sABOA70D4fGb8qNQ;Frost Diamond ;UC4hGmH5sABOA70D4fGb8qNQ;22.9;-;Indonesia;;6.9M;16839837;258433;12585;17/04/2025;27/04/2025
6;Baim Paula @UC5xAPCVizxOfnMECMXkal2Q;Baim Paula ;UC5xAPCVizxOfnMECMXkal2Q;20.8;-;Indonesia;;6.2M;2219270;71019;8832;16/07/2024;17/03/2025
7;Indosiar @UCYqOeAXJm8yV9sJ8Ud3cR7A;Indosiar ;UCYqOeAXJm8yV9sJ8Ud3cR7A;20.4;-;Indonesia;Celebrity;6.1M;1015723;15202;2562;25/04/2025;27/04/2025
8;Deddy Corbuzier @UCYk4LJI0Pr6RBDWowMm-KUw;Deddy Corbuzier ;UCYk4LJI0Pr6RBDWowMm-KUw;19.4;-;Indonesia;;5.8M;53485262;1163532;166944;28/03/2025;26/04/2025
9;BabyBus - Cerita & Lagu Anak-anak @UC5v3gjCQLFeg8eBXO7ShdpQ;BabyBus - Cerita & Lagu Anak-anak ;UC5v3gjCQLFeg8eBXO7ShdpQ;18.1;-;Indonesia;;5.4M;7847242;20979;0;08/03/2025;25/04/2025
10;Naisa Alifia Yuriza (N.A.Y) @UCtjFp8VXWIscsqQ2wokpo3Q;Naisa Alifia Yuriza (N.A.Y) ;UCtjFp8VXWIscsqQ2wokpo3Q;17.8;-;Indonesia;;5.3M;24857904;889931;5538;27/03/2024;28/12/2024
11;Zuni and Family @UCAelPgCHWYyEs8-TFuOVRtg;Zuni and Family ;UCAelPgCHWYyEs8-TFuOVRtg;16.4;-;Indonesia;;4.9M;28813894;87609;46;19/02/2025;27/04/2025
